body,brand,cit,color,gear,price,usage,year
چند لکه رنگ,دنا معمولی,کرمانشاه,قهوه‌ای,دنده‌ای,۹۲٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی ، کول باکس ، دوربین 360 درجه,۲۰۱۶ - ۱۳۹۵
بدون رنگ,دنا معمولی 1700cc,کرمانشاه,سفید,دنده‌ای,۹۶٫۰۰۰٫۰۰۰ تومان,۱۵۰٫۰۰۰,۲۰۱۵ - ۱۳۹۴
بدون رنگ,دنا معمولی 1700cc,کرمانشاه,مشکی,دنده‌ای,۱۲۵٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
دو لکه رنگ,دنا معمولی,کرمانشاه,سفید,دنده‌ای,۹۰٫۰۰۰٫۰۰۰ تومان,۱۰۶٫۰۰۰,۲۰۱۵ - ۱۳۹۴
دنده‌ای,دنا معمولی 1700cc,کرمانشاه,سفید,۹۶٫۵۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، دی لایت ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی ، کول باکس ، دوربین 360 درجه,۹۸,۲۰۱۶ - ۱۳۹۵
دو لکه رنگ,دنا معمولی 1700cc,کرمانشاه,سفید,دنده‌ای,۱۰۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، رادار ، صندلی برقی ، آینه تاشو برقی,۲۰۱۶ - ۱۳۹۵
بدون رنگ,دنا معمولی 1700cc,کرمانشاه,خاکستری,دنده‌ای,۱۲۳٫۵۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی,کرمانشاه,مشکی,دنده‌ای,۱۲۳٫۵۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کولر دوال ، رادار ، آینه تاشو برقی,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,کرمانشاه,آبی,دنده‌ای,۱۱۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، صندلی کودک ، صندلی برقی ، آینه تاشو برقی,۲۰۱۷ - ۱۳۹۶
بدون رنگ,دنا معمولی,کرمانشاه,سفید,دنده‌ای,۱۰۹٫۰۰۰٫۰۰۰ تومان,۴۵٫۰۰۰,۲۰۱۸ - ۱۳۹۷
,دنا معمولی 1700cc,کرمانشاه,,,,,۲۰۱۹ - ۱۳۹۸
دو برگی,دنا معمولی 1700cc,کرمانشاه,بدون رنگ,۱۰۲٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، دی لایت ، آینه تاشو برقی ، دوربین 360 درجه,۹۰٫۰۰۰,۲۰۱۵ - ۱۳۹۴
بدون رنگ,دنا معمولی 1700cc,کرمانشاه,خاکستری,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,کرمانشاه,سفید,دنده‌ای,۱۲۶٫۰۰۰٫۰۰۰ تومان,۱٫۲۰۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,دنا معمولی 1700cc,کرمانشاه,بدون رنگ,۰,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,کرج، طالقانی,سفید,دنده‌ای,۱۰۵٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی,۲۰۱۵ - ۱۳۹۴
بدون رنگ,دنا معمولی,کرج، مهرشهر,خاکستری,دنده‌ای,۱۲۵٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی,کرج، هشتگرد,سفید,دنده‌ای,۱۲۰٫۰۰۰٫۰۰۰ تومان,۱۰٫۰۰۰,۲۰۱۹ - ۱۳۹۸
یک لکه رنگ,دنا معمولی,کرج، گوهردشت,سفید,دنده‌ای,۱۰۵٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، دی لایت ، صندلی برقی ، آینه تاشو برقی,۲۰۱۶ - ۱۳۹۵
,,,,,,,
بدون رنگ,دنا معمولی 1700cc,کرج، شاهین ویلا,سفید,دنده‌ای,۹۹٫۲۰۰٫۰۰۰ تومان,۷۰,۲۰۱۶ - ۱۳۹۵
بدون رنگ,دنا معمولی 1700cc,کرج، حصارک,سفید,دنده‌ای,۱۰۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی,۲۰۱۷ - ۱۳۹۶
دنده‌ای,دنا معمولی 1700cc,مشهد، بلوار ایرج میرزا,سفید,۳۰,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,مشهد، بلوار الهیه,سفید,دنده‌ای,۶۵٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,دنا معمولی 1700cc,مشهد، هاشمیه,بدون رنگ,۱۲۶٫۰۰۰٫۰۰۰ تومان,۰,,۲۰۱۹ - ۱۳۹۸
,,,,,,,
بدون رنگ,دنا معمولی 1700cc,مشهد، تربت حیدریه,سرمه‌ای,دنده‌ای,۱۱۸٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کروز کنترل ، دی لایت ، صندلی برقی ، آینه تاشو برقی,۲۰۱۸ - ۱۳۹۷
,,,,,,,
بدون رنگ,دنا معمولی 1700cc,مشهد، احمدآباد,سفید,دنده‌ای,۱۰۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کروز کنترل ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، کول باکس ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۶ - ۱۳۹۵
بدون رنگ,دنا معمولی 1700cc,مشهد، احمدآباد,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
,دنا معمولی 1700cc,مشهد، بلوار ایرج میرزا,,,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,مشهد، کاشمر,نقدی,دنده‌ای,توافقی,۳۴۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,دنا معمولی 1700cc,مشهد، صیاد شیرازی,بدون رنگ,سنسور عقب و جلو ، کولر دوال ، دی لایت ، صندلی برقی ، آینه تاشو برقی,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,مشهد، امام رضا,سفید,دنده‌ای,۱۲۲٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، رادار ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، حافظه صندلی ، کول باکس,۲۰۱۸ - ۱۳۹۷
بدون رنگ,دنا معمولی 1700cc,مشهد، تربت حیدریه,سفید,دنده‌ای,۱۲۳٫۰۰۰٫۰۰۰ تومان,۴۰٫۰۰۰,۲۰۱۸ - ۱۳۹۷
توافقی,فروشی,مشهد، فلسطین,دنده‌ای,۰,,,دنا معمولی
بدون رنگ,دنا معمولی,مشهد، بلوار فردوسی,سفید,دنده‌ای,۱۳۰٫۰۰۰٫۰۰۰ تومان,سرد کن/گرم کن صندلی و فرمان ، کولر دوال ، اتو هلد ، دی لایت ، آینه تاشو برقی ، ترمز دستی برقی,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,مشهد، آزادشهر,آبی,دنده‌ای,۹۵٫۰۰۰٫۰۰۰ تومان,۱۹۰٫۰۰۰,۲۰۱۵ - ۱۳۹۴
,,,,,,,
بدون رنگ,دنا معمولی 1700cc,مشهد، احمدآباد,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,مشهد، کوهسنگی,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
توافقی,دنا معمولی,مشهد، طبرسی,دنده‌ای,۴۹,,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,دنا معمولی,مشهد، قاسم آباد (شهرک غرب),سفید,دنده‌ای,۱۳۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، دوربین 360 درجه,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی 1700cc,مشهد، مطهری شمالی,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,دنا معمولی 1700cc,مشهد، قاسم آباد (شهرک غرب),نقدی,توافقی,۰,,۲۰۱۹ - ۱۳۹۸
,,,,,,,
یک لکه رنگ,دنا معمولی 1700cc,مشهد، طلاب,مشکی,دنده‌ای,۹۲٫۵۰۰٫۰۰۰ تومان,فرمان برقی ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، دوربین 360 درجه,۲۰۱۵ - ۱۳۹۴
بدون رنگ,دنا معمولی 1700cc,مشهد، کوی مهدی,سفید,دنده‌ای,۱۲۰٫۰۰۰٫۰۰۰ تومان,فرمان برقی ، سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، اتو هلد ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، ترمز دستی برقی ، دوربین 360 درجه,۲۰۱۸ - ۱۳۹۷
بدون رنگ,دنا معمولی 1700cc,مشهد، وکیل آباد,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,دنا معمولی,مشهد، جانباز,مشکی,دنده‌ای,۹۵٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، دی لایت ، صندلی برقی ، آینه تاشو برقی,۲۰۱۵ - ۱۳۹۴
بدون رنگ,دنا معمولی 1700cc,کرج، ماهدشت,نقره‌ای,دنده‌ای,۱۰۵٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، رادار ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، دوربین 360 درجه,۲۰۱۶ - ۱۳۹۵
بدون رنگ,دنا معمولی 1700cc,کرج، شهر جدید هشتگرد,نقدی,دنده‌ای,توافقی,۶۲٫۰۰۰,۲۰۱۷ - ۱۳۹۶
بدون رنگ,دنا معمولی 1700cc,کرج، شهرک بنفشه,خاکستری,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
دو لکه رنگ,دنا معمولی,کرج، ماهدشت,سفید,دنده‌ای,۹۸٫۰۰۰٫۰۰۰ تومان,۶۱٫۰۰۰,۲۰۱۶ - ۱۳۹۵
,,,,,,,
بدون رنگ,دنا معمولی 1700cc,کرج، خرمدشت,سفید,دنده‌ای,۱۱۵٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کولر دوال ، کروز کنترل ، دی لایت ، صندلی برقی ، آینه تاشو برقی ، دوربین 360 درجه,۲۰۱۷ - ۱۳۹۶
بدون رنگ,دنا معمولی 1700cc,کرج، شهرک وحدت,سفید,دنده‌ای,۱۱۰٫۰۰۰٫۰۰۰ تومان,۳۶٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,دنا معمولی 1700cc,کرج، کمالشهر,نقره‌ای,دنده‌ای,۱۰۲٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو ، کروز کنترل ، صندلی برقی ، آینه تاشو برقی ، دوربین 360 درجه,۲۰۱۶ - ۱۳۹۵
بدون رنگ,فروشی,کرج، عظیمیه,نقدی,دنده‌ای,توافقی,۰,دنا معمولی
نقدی,فروشی,کرج، عظیمیه,سفید,بدون رنگ,دنده‌ای,توافقی,دنا معمولی 1700cc
نقدی,فروشی,کرج، عظیمیه,سفید,بدون رنگ,دنده‌ای,توافقی,دنا معمولی 1700cc
بدون رنگ,دنا معمولی 1700cc,کرج، هفت تیر,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
۰,دنا معمولی,کرج، مهرشهر,۱۰۵٫۰۰۰٫۰۰۰ تومان,,,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,دنا معمولی 1700cc,کرج، گلشهر,خاکستری,دنده‌ای,۱۱۹٫۹۰۰٫۰۰۰ تومان,صندلی برقی ، آینه تاشو برقی,۲۰۱۸ - ۱۳۹۷
بدون رنگ,دنا معمولی,کرج، حصارک,سفید,دنده‌ای,۱۱۵٫۰۰۰٫۰۰۰ تومان,۵۷٫۰۰۰,۲۰۱۸ - ۱۳۹۷
