body,brand,cit,color,gear,price,usage,year
دنده‌ای,پژو 405 GLX بنزینی,شیراز، بلوار فضیلت,دو لکه رنگ,توافقی,۰,,۲۰۰۹ - ۱۳۸۸
توافقی,پژو 405 GLX بنزینی,شیراز، بلوار عدالت,دنده‌ای,۴۴٫۰۰۰,,,۲۰۱۶ - ۱۳۹۵
۲۵۸٫۰۰۰,پژو 405 GLX بنزینی,اصفهان، شاهین شهر,دنده‌ای,,,,۲۰۰۴ - ۱۳۸۳
بدون رنگ,پژو 405 GLX بنزینی,اصفهان، مشتاق سوم,خاکستری,دنده‌ای,۱۹۰٫۰۰۰,,۲۰۰۷ - ۱۳۸۶
۷۴٫۵۰۰٫۰۰۰ تومان,پژو 405 GLX بنزینی,اصفهان، حکیم نظامی,تک برگی,۰,,,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,پژو 405 GLX بنزینی,اصفهان، شاهین شهر,مشکی,دنده‌ای,۱۲٫۳۴۵,,۲۰۰۰ - ۱۳۷۹
بدون رنگ,پژو 405 GLX بنزینی,اصفهان، آتشگاه,خاکستری,دنده‌ای,۸۰٫۰۰۰,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,پژو 405 GLX بنزینی,اصفهان، مبارکه,نقره‌ای,دنده‌ای,۱۲۰٫۰۰۰,,۲۰۱۳ - ۱۳۹۲
چند لکه رنگ,پژو 405 GLX بنزینی,اصفهان، مولوی,نوک‌مدادی,دنده‌ای,۱۱٫۱۱۱,,۱۹۹۵ - ۱۳۷۴
چند لکه رنگ,پژو 405 GLX بنزینی,اصفهان، دروازه تهران (میدان جمهوری),نقره‌ای,دنده‌ای,۳۲٫۰۰۰٫۰۰۰ تومان,۲۶۰٫۰۰۰,۲۰۰۵ - ۱۳۸۴
دنده‌ای,پژو 405 GLX بنزینی,اصفهان، ملک شهر,نقره‌ای,۳۳٫۰۰۰٫۰۰۰ تومان,۲۰۰٫۰۰۰,,۲۰۰۶ - ۱۳۸۵
,,,,,,,
بدون رنگ,پژو 405 GLX بنزینی,اصفهان، سه راه سیمین,نقره‌ای,دنده‌ای,۲۲٫۰۰۰,,۲۰۱۸ - ۱۳۹۷
بدون رنگ,پژو 405 GLX بنزینی,شیراز، پایگاه هوایی,نقره‌ای,دنده‌ای,۶۱٫۰۰۰٫۰۰۰ تومان,۱۱۷٫۰۰۰,۲۰۱۵ - ۱۳۹۴
چند لکه رنگ,پژو 405 GLX بنزینی,شیراز، بنی هاشمی,نقدی,دنده‌ای,توافقی,۲۵۸٫۹۰۰,۲۰۰۳ - ۱۳۸۲
تک برگی,پژو 405 GLX بنزینی,شیراز، شهرک گلستان,بدون رنگ,۳٫۰۰۰,,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,پژو 405 GLX بنزینی,شیراز، بلوار رحمت,دو لکه رنگ,۴۳٫۰۰۰٫۰۰۰ تومان,کولر دوال,۱۵۰٫۰۰۰,۲۰۱۱ - ۱۳۹۰
دو لکه رنگ,پژو 405 GLX بنزینی,شیراز، دلگشا,دلفینی,دنده‌ای,۱۸٫۰۰۰٫۰۰۰ تومان,۲۰۰٫۰۰۰,۱۹۹۵ - ۱۳۷۴
,پژو 405 GLX بنزینی,شیراز، مرودشت,,,,,۲۰۱۹ - ۱۳۹۸
توافقی,پژو 405 GLX بنزینی,اهواز، پردیس,تک برگی,۲۰۴٫۰۰۰,,,۲۰۰۵ - ۱۳۸۴
بدون رنگ,پژو 405 GLX بنزینی,شیراز، بلوار مدرس,دلفینی,دنده‌ای,۶۰٫۰۰۰٫۰۰۰ تومان,۱۷۰,۲۰۱۴ - ۱۳۹۳
