body,brand,cit,color,gear,price,usage,year
بدون رنگ,پژو پارس ساده,اصفهان، بهارستان,نقره‌ای,دنده‌ای,۴۹۰٫۰۰۰,,۲۰۰۴ - ۱۳۸۳
چند لکه رنگ,پژو پارس ساده,اصفهان، پروین,نوک‌مدادی,دنده‌ای,۶۵٫۰۰۰٫۰۰۰ تومان,۱۸۳٫۰۰۰,۲۰۱۱ - ۱۳۹۰
,پژو پارس ساده,اصفهان، هشت بهشت,,,,,۲۰۱۰ - ۱۳۸۹
بدون رنگ,پژو پارس ساده,اصفهان، بزرگمهر,سفید,دنده‌ای,۹۸٫۰۰۰٫۰۰۰ تومان,۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,پژو پارس ساده,اصفهان، خمینی شهر,بدون رنگ,۰,,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پژو پارس ساده,اصفهان، دروازه تهران (میدان جمهوری),نقره‌ای,دنده‌ای,۱۲۰٫۰۰۰,,۲۰۱۲ - ۱۳۹۱
چند لکه رنگ,پژو پارس ساده,اصفهان، خانه اصفهان,سفید,دنده‌ای,۴۹٫۰۰۰٫۰۰۰ تومان,۳۱۰٫۰۰۰,۲۰۰۸ - ۱۳۸۷
,پژو پارس ساده,اصفهان، شیخ صدوق شمالی,۰,,,,۲۰۱۹ - ۱۳۹۸
یک لکه رنگ,پژو پارس ساده,اصفهان، پروین,سفید,دنده‌ای,۲۰۰٫۰۰۰,,۲۰۱۲ - ۱۳۹۱
دو لکه رنگ,پژو پارس ساده,اصفهان، حسین‌آباد,نقره‌ای,دنده‌ای,۴۶٫۹۰۰٫۰۰۰ تومان,۲۲۲,۲۰۰۵ - ۱۳۸۴
دو لکه رنگ,پژو پارس ساده,اصفهان، ابن سینا,نقره‌ای,دنده‌ای,۵۳٫۰۰۰٫۰۰۰ تومان,۳۰۰٫۰۰۰,۲۰۰۸ - ۱۳۸۷
۷۰٫۰۰۰٫۰۰۰ تومان,پژو پارس ساده,رشت,بدون رنگ,۱۲۹٫۰۰۰,,,۲۰۱۲ - ۱۳۹۱
چند لکه رنگ,پژو پارس ساده,رشت,نقره‌ای,دنده‌ای,۳۸٫۵۰۰٫۰۰۰ تومان,۳۸۸,۲۰۰۴ - ۱۳۸۳
چند لکه رنگ,پژو پارس ساده,رشت,خاکستری,دنده‌ای,۱۹۵٫۰۰۰,,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو پارس ساده,رشت,نوک‌مدادی,دنده‌ای,۳۸٫۸۰۰٫۰۰۰ تومان,۱۳۵٫۶۸۹,۲۰۰۶ - ۱۳۸۵
چند لکه رنگ,پژو پارس ساده,رشت,سفید,دنده‌ای,۶۶٫۰۰۰٫۰۰۰ تومان,۱۱۵٫۰۷۵,۲۰۱۳ - ۱۳۹۲
چند لکه رنگ,پژو پارس ساده,رشت,نقره‌ای,دنده‌ای,۳۱۰٫۰۰۰,,۲۰۰۴ - ۱۳۸۳
دنده‌ای,پژو پارس ساده,رشت,یک لکه رنگ,۵۱٫۰۰۰٫۰۰۰ تومان,۳۰۰٫۰۰۰,,۲۰۰۹ - ۱۳۸۸
بدون رنگ,پژو پارس ساده,رشت,آلبالویی,دنده‌ای,۳۳٫۳۳۳,,۲۰۰۱ - ۱۳۸۰
بدون رنگ,پژو پارس ساده,رشت,بژ,دنده‌ای,۳۸٫۰۰۰٫۰۰۰ تومان,آینه تاشو برقی,۲۰۰۳ - ۱۳۸۲
دو لکه رنگ,پژو پارس ساده,رشت,سفید,دنده‌ای,سانروف ، دی لایت ، آینه تاشو برقی ، کول باکس,۲۲۰٫۰۰۰,۲۰۰۸ - ۱۳۸۷
توافقی,پژو پارس ساده,رشت,دنده‌ای,۱۷۰٫۰۰۰,,,۲۰۱۴ - ۱۳۹۳
بدون رنگ,پژو پارس ساده,تبریز,خاکستری,دنده‌ای,۸۰٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو,۲۰۱۳ - ۱۳۹۲
یک لکه رنگ,پژو پارس ساده,رشت,نقدی,دنده‌ای,توافقی,۷۰٫۰۰۰,۲۰۰۸ - ۱۳۸۷
توافقی,پژو پارس ساده,تبریز,دو برگی,۴۵۰٫۰۰۰,,,۲۰۰۸ - ۱۳۸۷
بدون رنگ,پژو پارس ساده,تبریز,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
دنده‌ای,پژو پارس ساده,تبریز,دو لکه رنگ,۱۶۰٫۰۰۰,,,۲۰۰۸ - ۱۳۸۷
بدون رنگ,پژو پارس ساده,رشت,سفید صدفی,دنده‌ای,سنسور عقب و جلو,۱۶۰٫۰۰۰,۲۰۱۱ - ۱۳۹۰
دنده‌ای,پژو پارس ساده,تبریز,یک لکه رنگ,هستم,کروز کنترل ، آینه تاشو برقی,۲۱۲,۲۰۰۸ - ۱۳۸۷
دو لکه رنگ,پژو پارس ساده,تبریز,سفید,دنده‌ای,۵۳٫۰۰۰٫۰۰۰ تومان,۱۷٫۲۲۲,۲۰۰۸ - ۱۳۸۷
بدون رنگ,پژو پارس ساده,تبریز,سفید,دنده‌ای,۷۷٫۰۰۰,,۲۰۱۵ - ۱۳۹۴
