body,brand,cit,color,gear,price,usage,year
دنده‌ای,پراید 131 SL,رشت,سفید,۲۰۵٫۰۰۰,,,۲۰۱۱ - ۱۳۹۰
,پراید 131 EX,کرج، گلشهر,,,,,۲۰۱۳ - ۱۳۹۲
بدون رنگ,پراید 131 SE,تبریز,نقدی,دنده‌ای,توافقی,۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,پراید 131 SE,شیراز، بلوار مدرس,سفید صدفی,دنده‌ای,۸۴٫۰۰۰,,۲۰۱۵ - ۱۳۹۴
بدون رنگ,پراید 131 SL,قم، توحید,سفید,دنده‌ای,۲۲,,۲۰۱۹ - ۱۳۹۸
دنده‌ای,پراید 131 SX,کرج، گلشهر,بدون رنگ,توافقی,۲۱۰٫۰۰۰,,۲۰۱۲ - ۱۳۹۱
بدون رنگ,پراید 131 SE,قم، امام,سفید,دنده‌ای,۸٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پراید 131 SE,شیراز، فسا,سفید,دنده‌ای,۰,,۲۰۱۹ - ۱۳۹۸
دو برگی,پراید 131 SX,تبریز,یک لکه رنگ,۳۴٫۰۰۰٫۰۰۰ تومان,۲۲۰,,۲۰۱۱ - ۱۳۹۰
دنده‌ای,پراید 131 دوگانه‌ سوز,کرمانشاه,چند لکه رنگ,۲۰۵٫۰۰۰,,,۲۰۰۸ - ۱۳۸۷
دو لکه رنگ,پراید 131 SE,کرمانشاه,سفید,دنده‌ای,۳۴٫۸۰۰٫۰۰۰ تومان,۱۰۰٫۰۰۰,۲۰۱۵ - ۱۳۹۴
چند لکه رنگ,پراید 131 SE,کرمانشاه,نقدی,دنده‌ای,توافقی,۲۲٫۰۰۰,۲۰۱۸ - ۱۳۹۷
بدون رنگ,پراید 131 SE,کرمانشاه,سفید,دنده‌ای,۴۱٫۵۰۰٫۰۰۰ تومان,۸۰٫۰۰۰,۲۰۱۶ - ۱۳۹۵
دنده‌ای,پراید 131 دوگانه‌ سوز,کرمانشاه,سفید,۱۲۰٫۰۰۰,,,۲۰۱۳ - ۱۳۹۲
یک لکه رنگ,پراید 131 EX,کرمانشاه,سفید,دنده‌ای,۱۶٫۹۰۰٫۰۰۰ تومان,۱۱۱٫۱۱۱,۲۰۰۳ - ۱۳۸۲
بدون رنگ,پراید 131 SE,کرمانشاه,سفید,دنده‌ای,۲۵٫۰۰۰,,۲۰۱۹ - ۱۳۹۸
یک لکه رنگ,پراید 131 دوگانه‌ سوز,کرمانشاه,سفید,دنده‌ای,۳۶۰٫۰۰۰,,۲۰۰۷ - ۱۳۸۶
چند لکه رنگ,پراید 131 SE,کرمانشاه,سفید,دنده‌ای,۳۰٫۰۰۰٫۰۰۰ تومان,۲۳۰٫۰۰۰,۲۰۱۴ - ۱۳۹۳
,پراید 131 SE,کرمانشاه,۹۰٫۰۰۰,,,,۲۰۱۵ - ۱۳۹۴
دو لکه رنگ,پراید 131 TL,کرمانشاه,نقره‌ای,دنده‌ای,۱۸٫۰۰۰٫۰۰۰ تومان,۲۵۳٫۰۰۰,۲۰۰۵ - ۱۳۸۴
بدون رنگ,پراید 131 SE,کرمانشاه,سفید,دنده‌ای,۴۷٫۰۰۰,,۲۰۱۷ - ۱۳۹۶
بدون رنگ,پراید 131 SE,کرمانشاه,نقره‌ای,دنده‌ای,۴۰٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
بدون رنگ,پراید 131 SL,کرمانشاه,سفید,دنده‌ای,۴۸٫۲۰۰٫۰۰۰ تومان,۵۰,۲۰۱۷ - ۱۳۹۶
دنده‌ای,پراید 131 TL,کرمانشاه,تصادفی,۸٫۰۰۰٫۰۰۰ تومان,۲۵۵٫۵۵۲,,۲۰۰۴ - ۱۳۸۳
چند لکه رنگ,پراید 131 دوگانه‌ سوز,کرمانشاه,نقره‌ای,دنده‌ای,۲۲٫۵۰۰٫۰۰۰ تومان,۳۲۰٫۰۰۰,۲۰۰۷ - ۱۳۸۶
چند لکه رنگ,پراید 131 دوگانه‌ سوز,کرمانشاه,سفید,دنده‌ای,۲۴٫۰۰۰٫۰۰۰ تومان,۱۸۸,۲۰۰۶ - ۱۳۸۵
بدون رنگ,پراید 131,کرمانشاه,سفید,دنده‌ای,۳۷٫۰۰۰٫۰۰۰ تومان,۱۴٫۰۰۰,۲۰۱۹ - ۱۳۹۸
