body,brand,cit,color,gear,price,usage,year
دو لکه رنگ,پژو 206 تیپ ۵,شیراز، صدرا فاز یک,سفید,دنده‌ای,۷۳٫۵۰۰٫۰۰۰ تومان,سنسور عقب و جلو,۲۰۱۴ - ۱۳۹۳
سنسور عقب و جلو,پژو 206 تیپ ۵,شیراز، پاسداران,۹۱٫۰۰۰٫۰۰۰ تومان,۷۵٫۰۰۰,,,۲۰۱۷ - ۱۳۹۶
یک لکه رنگ,پژو 206 تیپ ۵,مشهد، مطهری جنوبی,سفید,دنده‌ای,۹۵٫۰۰۰٫۰۰۰ تومان,۴۰٫۰۰۰,۲۰۱۷ - ۱۳۹۶
یک لکه رنگ,پژو 206 تیپ ۵,کرج، هفت تیر,سفید,دنده‌ای,۹۵٫۵۰۰٫۰۰۰ تومان,سنسور عقب و جلو,۲۰۱۷ - ۱۳۹۶
بدون رنگ,پژو 206 تیپ ۵,کرمانشاه,سفید,دنده‌ای,۱۰۷٫۰۰۰٫۰۰۰ تومان,کولر دوال,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پژو 206 تیپ ۵,کرمانشاه,سفید,دنده‌ای,۸۰٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
یک لکه رنگ,پژو 206 تیپ ۵,تهران، نازی‌آباد,سفید,دنده‌ای,۷۳٫۰۰۰٫۰۰۰ تومان,۷۰٫۰۰۰,۲۰۱۴ - ۱۳۹۳
بدون رنگ,پژو 206 تیپ ۵,مشهد، صارمی,خاکستری,دنده‌ای,۱۰۰٫۰۰۰٫۰۰۰ تومان,۴۰٫۰۰۰,۲۰۱۸ - ۱۳۹۷
تصادفی,پژو 206 تیپ ۵,مشهد، کوی مهدی,نقره‌ای,دنده‌ای,۱٫۱۱۱,,۲۰۰۷ - ۱۳۸۶
دنده‌ای,پژو 206 تیپ ۵,مشهد، بلوار توس,دو لکه رنگ,۷۸٫۰۰۰٫۰۰۰ تومان,سنسور عقب و جلو,۱۱۴٫۰۰۰,۲۰۱۵ - ۱۳۹۴
چند لکه رنگ,پژو 206 تیپ ۵,مشهد، ابوطالب,سفید,دنده‌ای,۵۳٫۰۰۰٫۰۰۰ تومان,آینه تاشو برقی,۲۰۰۹ - ۱۳۸۸
چند لکه رنگ,پژو 206 تیپ ۵,مشهد، رضاشهر,سفید,دنده‌ای,۵۴٫۵۰۰٫۰۰۰ تومان,۱۹۶٫۰۰۰,۲۰۱۱ - ۱۳۹۰
بدون رنگ,پژو 206 تیپ ۵,مشهد، قاسم آباد (شهرک غرب),دلفینی,دنده‌ای,۱۳,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پژو 206 تیپ ۵,مشهد، دانشجو,سفید,دنده‌ای,۶۹٫۵۰۰٫۰۰۰ تومان,کروز کنترل ، دوربین 360 درجه,۲۰۱۱ - ۱۳۹۰
چند لکه رنگ,پژو 206 تیپ ۵,مشهد، هفت تیر,سفید,دنده‌ای,۵۴٫۸۰۰٫۰۰۰ تومان,۲۶۰,۲۰۱۰ - ۱۳۸۹
بدون رنگ,پژو 206 تیپ ۵,مشهد، احمدآباد,نقدی,دنده‌ای,توافقی,۰,۲۰۱۹ - ۱۳۹۸
چند لکه رنگ,پژو 206 تیپ ۵,مشهد، تربت حیدریه,سفید,دنده‌ای,۷۲٫۰۰۰٫۰۰۰ تومان,۹۰,۲۰۱۶ - ۱۳۹۵
بدون رنگ,پژو 206 تیپ ۵,مشهد، احمدآباد,سفید,دنده‌ای,۹۲٫۰۰۰٫۰۰۰ تومان,۵۴,۲۰۱۶ - ۱۳۹۵
۹۸٫۰۰۰٫۰۰۰ تومان,پژو 206 تیپ ۵,شیراز، صنایع (میرزای شیرازی),تک برگی,۱۵٫۰۰۰,,,۲۰۱۷ - ۱۳۹۶
دنده‌ای,پژو 206 تیپ ۵,مشهد، سرافرازان,دو لکه رنگ,۷۸٫۰۰۰٫۰۰۰ تومان,۸۰٫۰۰۰,,۲۰۱۶ - ۱۳۹۵
۶۰٫۰۰۰,پژو 206 تیپ ۵,شیراز، امیرکبیر,۹۴٫۰۰۰٫۰۰۰ تومان,,,,۲۰۱۶ - ۱۳۹۵
یک لکه رنگ,پژو 206 تیپ ۵,شیراز، باهنر جنوبی,مشکی,دنده‌ای,۶۰٫۰۰۰٫۰۰۰ تومان,۲۵۰,۲۰۰۹ - ۱۳۸۸
بدون رنگ,پژو 206 تیپ ۵,شیراز، بلوار مدرس,خاکستری,دنده‌ای,۱,,۲۰۱۹ - ۱۳۹۸
بدون رنگ,پژو 206 تیپ ۵,شیراز، معالی آباد,سفید,دنده‌ای,۹۲٫۰۰۰٫۰۰۰ تومان,۹۹٫۰۰۰,۲۰۱۶ - ۱۳۹۵
